UF;Região;CEP Início;CEP Fim;CEP Base
SP;Capital;01000000;05999999;05999999
SP;Região Metropolitana;06000000;07999999;07999999
SP;Capital;08000000;08499999;08499999
SP;Região Metropolitana;08500000;09999999;09999999
SP;Capital;10000000;11999999;11999999
SP;Interior;12000000;12999999;12999999
SP;Interior;13000000;13999999;13999999
SP;Interior;14000000;14999999;14999999
SP;Interior;15000000;15999999;15999999
SP;Interior;16000000;16999999;16999999
SP;Interior;17000000;17999999;17999999
SP;Interior;18000000;18999999;18999999
SP;Interior;19000000;19999999;19999999
RJ;Capital;20000000;23799999;23799999
RJ;Região Metropolitana;23800000;26600999;26600999
RJ;Interior;26601000;27999999;27999999
RJ;Interior;28000000;28999999;28999999
ES;Capital;29000000;29099999;29099999
ES;Interior;29100000;29999999;29999999
MG;Capital;30000000;31999999;31999999
MG;Região Metropolitana;32000000;34999999;34999999
MG;Interior;35000000;35990999;35990999
MG;Interior;35991000;36999999;36999999
MG;Interior;37000000;37999999;37999999
MG;Interior;38000000;38999999;38999999
MG;Interior;39000000;39990000;39990000
BA;Capital;39990001;42599999;42599999
BA;Região Metropolitana;42600000;44470999;44470999
BA;Interior;44471000;44999999;44999999
BA;Interior;45000000;45999999;45999999
BA;Interior;46000000;46999999;46999999
BA;Interior;47000000;47999999;47999999
BA;Interior;48000000;48999999;48999999
SE;Capital;49000000;49098999;49098999
SE;Interior;49099000;49999999;49999999
PE;Capital;50000000;52999999;52999999
PE;Região Metropolitana;53000000;54999999;54999999
PE;Interior;55000000;55999999;55999999
PE;Interior;56000000;56999999;56999999
AL;Capital;57000000;57099999;57099999
AL;Interior;57100000;57999999;57999999
PB;Capital;58000000;58099999;58099999
PB;Interior;58100000;58990999;58990999
RN;Capital;58991000;59139999;59139999
RN;Interior;59140000;59999999;59999999
CE;Capital;60000000;60999999;60999999
CE;Capital;61000000;61599999;61599999
CE;Região Metropolitana;61600000;61900999;61900999
CE;Interior;61901000;61999999;61999999
CE;Interior;62000000;62999999;62999999
CE;Interior;63000000;63999999;63999999
PI;Capital;64000000;64099999;64099999
AP;Capital;64100000;64914999;64914999
PI;Interior;64915000;64999999;64999999
MA;Capital;65000000;65099999;65099999
MA;Capital;65100000;65109999;65109999
MA;Interior;65110000;65999999;65999999
PA;Capital;66000000;66999999;66999999
PA;Região Metropolitana;67000000;67999999;67999999
PA;Interior;68000000;68899999;68899999
AP;Capital;68900000;68911999;68911999
AP;Interior;68912000;68999999;68999999
AM;Capital;69000000;69099999;69099999
AM;Interior;69100000;69299999;69299999
RR;Capital;69300000;69339999;69339999
RR;Interior;69340000;69399999;69399999
AC;Capital;69400000;69924999;69924999
AC;Interior;69925000;69999999;69999999
DF;Capital;70000000;72799999;72799999
GO;Interior;72800000;72980999;72980999
DF;Capital;72981000;73699999;73699999
GO;Interior;73700000;73999999;73999999
GO;Capital;74000000;74899999;74899999
GO;Interior;74900000;76750999;76750999
RO;Capital;76751000;76834999;76834999
RO;Capital;76835000;76849999;76849999
RO;Interior;76850000;76999999;76999999
TO;Capital;77000000;77249999;77249999
TO;Capital;77250000;77299999;77299999
TO;Interior;77300000;77999999;77999999
MT;Capital;78000000;78099999;78099999
MT;Capital;78100000;78109999;78109999
MT;Interior;78110000;78899999;78899999
MS;Capital;78900000;79124999;79124999
MS;Capital;79125000;79129999;79129999
MS;Interior;79130000;79999999;79999999
PR;Capital;80000000;82999999;82999999
PR;Região Metropolitana;83000000;83800999;83800999
PR;Interior;83801000;83999999;83999999
PR;Interior;84000000;84999999;84999999
PR;Interior;85000000;85999999;85999999
PR;Interior;86000000;86999999;86999999
PR;Interior;87000000;87999999;87999999
SC;Capital;88000000;88099999;88099999
SC;Região Metropolitana;88100000;88469999;88469999
SC;Interior;88470000;88999999;88999999
SC;Interior;89000000;89999999;89999999
RS;Capital;90000000;91999999;91999999
RS;Região Metropolitana;92000000;94900999;94900999
RS;Interior;94901000;94999999;94999999
RS;Interior;95000000;95999999;95999999
RS;Interior;96000000;96999999;96999999
RS;Interior;97000000;97999999;97999999
RS;Interior;98000000;98999999;98999999
RS;Interior;99000000;99999999;99999999
